timebg	Bbgz
2021-06-07T16:43:34.505	-70.1233695002691
2021-06-07T16:43:35.505	-70.131104156238
2021-06-07T16:43:36.505	-70.1388388122068
2021-06-07T16:43:37.505	-70.1465734681757
2021-06-07T16:43:38.506	-70.1543158588005
2021-06-07T16:43:39.506	-70.1620505147693
2021-06-07T16:43:40.506	-70.1697851707382
2021-06-07T16:43:41.506	-70.177519826707
2021-06-07T16:43:42.506	-70.1852544826759
2021-06-07T16:43:43.506	-70.1929891386447
2021-06-07T16:43:44.505	-70.2007160599576
2021-06-07T16:43:45.505	-70.2084507159264
2021-06-07T16:43:46.505	-70.2161853718953
2021-06-07T16:43:47.505	-70.2239200278641
2021-06-07T16:43:48.505	-70.231654683833
2021-06-07T16:43:49.505	-70.2393893398018
2021-06-07T16:43:50.506	-70.2471317304266
2021-06-07T16:43:51.505	-70.2548586517395
2021-06-07T16:43:52.506	-70.2626010423643
2021-06-07T16:43:53.506	-70.2703356983331
2021-06-07T16:43:54.506	-70.278070354302
2021-06-07T16:43:55.506	-70.2858050102708
2021-06-07T16:43:56.506	-70.2935396662397
2021-06-07T16:43:57.506	-70.3012743222085
2021-06-07T16:43:58.505	-70.3090012435214
2021-06-07T16:43:59.505	-70.3167358994902
2021-06-07T16:44:00.505	-70.3244705554591
2021-06-07T16:44:01.505	-70.3322052114279
2021-06-07T16:44:02.505	-70.3399398673968
2021-06-07T16:44:03.505	-70.3476745233656
2021-06-07T16:44:04.505	-70.3554091793345
2021-06-07T16:44:05.505	-70.3631438353033
2021-06-07T16:44:06.505	-70.3708784912721
2021-06-07T16:44:07.505	-70.378613147241
2021-06-07T16:44:08.505	-70.3863478032098
2021-06-07T16:44:09.505	-70.3940824591787
2021-06-07T16:44:10.505	-70.4018171151475
2021-06-07T16:44:11.505	-70.4095517711164
2021-06-07T16:44:12.505	-70.4172864270852
2021-06-07T16:44:13.505	-70.425021083054
2021-06-07T16:44:14.505	-70.4327557390229
2021-06-07T16:44:15.505	-70.4404903949917
2021-06-07T16:44:16.505	-70.4482250509606
2021-06-07T16:44:17.505	-70.4559597069294
2021-06-07T16:44:18.505	-70.4636943628983
2021-06-07T16:44:19.505	-70.4714290188671
2021-06-07T16:44:20.505	-70.479163674836
2021-06-07T16:44:21.505	-70.4868983308048
2021-06-07T16:44:22.505	-70.4946329867737
2021-06-07T16:44:23.505	-70.5023676427425
2021-06-07T16:44:24.505	-70.5101022987113
2021-06-07T16:44:25.505	-70.5178369546802
2021-06-07T16:44:26.505	-70.525571610649
2021-06-07T16:44:27.505	-70.5333062666179
2021-06-07T16:44:28.505	-70.5410409225867
2021-06-07T16:44:29.505	-70.5487755785555
2021-06-07T16:44:30.505	-70.5565102345244
2021-06-07T16:44:31.505	-70.5642448904932
2021-06-07T16:44:32.505	-70.5719795464621
2021-06-07T16:44:33.505	-70.5797142024309
2021-06-07T16:44:34.505	-70.5874488583998
2021-06-07T16:44:35.505	-70.5951835143686
2021-06-07T16:44:36.505	-70.6029181703375
2021-06-07T16:44:37.505	-70.6106528263063
2021-06-07T16:44:38.505	-70.6183874822752
2021-06-07T16:44:39.505	-70.626122138244
2021-06-07T16:44:40.505	-70.6338567942128
2021-06-07T16:44:41.505	-70.6415914501817
2021-06-07T16:44:42.505	-70.6493261061505
2021-06-07T16:44:43.505	-70.6570607621194
2021-06-07T16:44:44.505	-70.6647954180882
2021-06-07T16:44:45.505	-70.6725300740571
2021-06-07T16:44:46.505	-70.6802647300259
2021-06-07T16:44:47.505	-70.6879993859947
2021-06-07T16:44:48.505	-70.6957340419636
2021-06-07T16:44:49.505	-70.7034686979324
2021-06-07T16:44:50.505	-70.7112033539013
