time	Bz
1996-09-06T19:02:43.453	-500.015997494095
1996-09-06T19:02:43.820	-499.909404100099
1996-09-06T19:02:44.120	-496.91978702635
1996-09-06T19:02:44.486	-495.536015882561
1996-09-06T19:02:44.786	-495.549714937994
1996-09-06T19:02:45.153	-490.670308870223
1996-09-06T19:02:45.453	-492.890564779768
1996-09-06T19:02:45.820	-489.14631955937
1996-09-06T19:02:46.120	-491.148801834384
1996-09-06T19:02:46.486	-486.513750019937
1996-09-06T19:02:46.786	-485.860820147771
1996-09-06T19:02:47.153	-485.020073835854
1996-09-06T19:02:47.453	-481.101161507761
1996-09-06T19:02:47.820	-483.287093812603
1996-09-06T19:02:48.120	-481.233380999151
1996-09-06T19:02:48.486	-478.878659573149
1996-09-06T19:02:48.786	-477.88272233207
1996-09-06T19:02:49.153	-475.829573361647
1996-09-06T19:02:49.453	-476.805852475308
1996-09-06T19:02:49.820	-475.84176902172
1996-09-06T19:02:50.120	-473.90150368831
1996-09-06T19:02:50.486	-474.737507977092
1996-09-06T19:02:50.786	-473.007831145577
1996-09-06T19:02:51.153	-467.885093036136
1996-09-06T19:02:51.453	-469.179882058201
1996-09-06T19:02:51.820	-467.778483784708
1996-09-06T19:02:52.120	-467.778337415593
1996-09-06T19:02:52.486	-467.552277711089
1996-09-06T19:02:52.786	-465.429075083314
1996-09-06T19:02:53.153	-466.139645754576
1996-09-06T19:02:53.453	-463.594755510515
1996-09-06T19:02:53.820	-461.216120225385
1996-09-06T19:02:54.120	-462.109592879312
1996-09-06T19:02:54.486	-458.478470094797
1996-09-06T19:02:54.786	-458.626258022274
1996-09-06T19:02:55.153	-455.442103022327
1996-09-06T19:02:55.453	-458.948747813198
1996-09-06T19:02:55.820	-456.361632347319
1996-09-06T19:02:56.120	-454.735765887077
1996-09-06T19:02:56.486	-453.981855670098
1996-09-06T19:02:56.786	-450.542216071519
1996-09-06T19:02:57.153	-451.016700549836
1996-09-06T19:02:57.453	-447.164772911662
1996-09-06T19:02:57.820	-444.993971246108
1996-09-06T19:02:58.120	-443.673650843537
1996-09-06T19:02:58.486	-446.276214116391
1996-09-06T19:02:58.786	-442.106432432604
1996-09-06T19:02:59.153	-443.188091802795
1996-09-06T19:02:59.453	-443.030916863527
1996-09-06T19:02:59.820	-440.118912108945
1996-09-06T19:03:00.120	-440.243722178646
1996-09-06T19:03:00.486	-437.387642786907
1996-09-06T19:03:00.786	-437.760434773074
1996-09-06T19:03:01.153	-438.321247589946
1996-09-06T19:03:01.453	-435.845342416504
1996-09-06T19:03:01.820	-433.700840466797
1996-09-06T19:03:02.120	-433.464619565895
1996-09-06T19:03:02.486	-429.016765922027
1996-09-06T19:03:02.786	-429.250415246453
1996-09-06T19:03:03.153	-428.281153433717
1996-09-06T19:03:03.453	-426.067312999059
1996-09-06T19:03:03.820	-427.147455289288
1996-09-06T19:03:04.120	-428.932369105792
1996-09-06T19:03:04.486	-424.595606488633
1996-09-06T19:03:04.786	-425.093513272888
1996-09-06T19:03:05.153	-422.476074122889
1996-09-06T19:03:05.453	-422.819433666753
1996-09-06T19:03:05.820	-419.461961004791
1996-09-06T19:03:06.120	-415.251179921249
1996-09-06T19:03:06.486	-415.855626734914
1996-09-06T19:03:06.786	-415.522934186002
1996-09-06T19:03:07.153	-415.385249574924
1996-09-06T19:03:07.453	-413.876684641673
1996-09-06T19:03:07.820	-410.38643433038
1996-09-06T19:03:08.120	-413.108375716241
1996-09-06T19:03:08.486	-411.518635058733
1996-09-06T19:03:08.786	-410.718244435844
1996-09-06T19:03:09.153	-407.759747091987
1996-09-06T19:03:09.453	-409.887724398857
1996-09-06T19:03:09.820	-408.064687801497
1996-09-06T19:03:10.120	-408.029840346574
1996-09-06T19:03:10.486	-405.199530301171
1996-09-06T19:03:10.786	-402.58957500244
1996-09-06T19:03:11.153	-401.765039400785
1996-09-06T19:03:11.453	-399.51564714551
1996-09-06T19:03:11.820	-402.899410067404
1996-09-06T19:03:12.120	-399.126479754606
1996-09-06T19:03:12.486	-399.316770269311
1996-09-06T19:03:12.786	-399.087359150854
1996-09-06T19:03:13.153	-395.506359725072
1996-09-06T19:03:13.453	-393.734332631232
1996-09-06T19:03:13.820	-391.702797915954
1996-09-06T19:03:14.120	-391.678574037804
1996-09-06T19:03:14.486	-391.679829735578
1996-09-06T19:03:14.786	-394.234265644807
1996-09-06T19:03:15.153	-387.834183140758
1996-09-06T19:03:15.453	-384.6488694473
1996-09-06T19:03:15.820	-385.881179341925
1996-09-06T19:03:16.120	-388.066604658283
1996-09-06T19:03:16.486	-385.862404206784
1996-09-06T19:03:16.786	-383.101459772453
1996-09-06T19:03:17.153	-380.158508166271
1996-09-06T19:03:17.453	-379.618805514394
1996-09-06T19:03:17.820	-377.032145690954
1996-09-06T19:03:18.120	-378.205605308147
1996-09-06T19:03:18.486	-377.501801257201
1996-09-06T19:03:18.786	-376.947558889557
1996-09-06T19:03:19.153	-377.661786157323
1996-09-06T19:03:19.453	-374.87016007891
1996-09-06T19:03:19.820	-375.849297464594
1996-09-06T19:03:20.120	-371.073451880193
1996-09-06T19:03:20.486	-373.48648084912
1996-09-06T19:03:20.786	-373.521910326036
1996-09-06T19:03:21.153	-370.522672422883
1996-09-06T19:03:21.453	-369.801221806844
1996-09-06T19:03:21.820	-366.650306490106
1996-09-06T19:03:22.120	-367.235504007623
1996-09-06T19:03:22.486	-362.983692302688
1996-09-06T19:03:22.786	-364.634555483947
1996-09-06T19:03:23.153	-364.718502880731
1996-09-06T19:03:23.453	-362.884185483558
1996-09-06T19:03:23.820	-360.171984895462
1996-09-06T19:03:24.120	-359.691370336563
1996-09-06T19:03:24.486	-358.924154448363
1996-09-06T19:03:24.786	-356.21647026419
1996-09-06T19:03:25.153	-358.012338539752
1996-09-06T19:03:25.453	-356.124469781766
1996-09-06T19:03:25.820	-353.890406684074
1996-09-06T19:03:26.120	-353.23979693699
1996-09-06T19:03:26.486	-352.589867568223
